System,Areas,Category,Metric,Area_type,TMH & DTAC-MB MKS,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH & DTAC-MB Total Customer,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer
All OS,Changwat Phetchabun,3G,Connection,Province,41.55,28.46,58.45,13.09,0,10000,4300,2900,6000,1400,0
All OS,Changwat Phetchabun,4G,Connection,Province,53.33,39.31,46.68,14.02,0,304000,171000,126000,147000,45000,0
All OS,Changwat Phetchabun,5G,Connection,Province,65.14,52.66,34.87,12.48,0,122000,83000,67000,45000,16000,0
All OS,Changwat Nakhon Nayok,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Nakhon Nayok,3G,Connection,Province,44.14,25.75,55.85,18.39,0,2800,1300,810,1700,490,0
All OS,Changwat Nakhon Nayok,4G,Connection,Province,50.96,29.89,49.04,21.07,0,116000,61000,36000,59000,25000,0
All OS,Changwat Nakhon Nayok,5G,Connection,Province,53.91,38.43,46.09,15.48,0,64000,38000,27000,32000,11000,0
All OS,Changwat Satun,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Satun,3G,Connection,Province,50.36,18.62,49.64,31.74,0,3900,2230,730,2200,1500,0
All OS,Changwat Satun,4G,Connection,Province,60.74,22.62,39.25,38.12,0,140000,90000,34000,58000,56000,0
All OS,Changwat Satun,5G,Connection,Province,58.79,27.39,41.22,31.4,0,46000,29000,14000,19000,15000,0
All OS,Changwat Suphan Buri,2G,Connection,Province,0,0,0,0,0,200,0,0,0,0,0
All OS,Changwat Suphan Buri,3G,Connection,Province,26.32,14.61,73.68,11.71,0,12000,3400,1900,10000,1500,0
All OS,Changwat Suphan Buri,4G,Connection,Province,32.93,18.45,67.08,14.48,0,337000,115000,64000,234000,51000,0
All OS,Changwat Suphan Buri,5G,Connection,Province,41.51,28.73,58.49,12.78,0,154000,67000,46000,94000,21000,0
All OS,Changwat Nong Khai,2G,Connection,Province,100,100,0,0,0,240,110,110,0,0,0
All OS,Changwat Nong Khai,3G,Connection,Province,34.47,24.08,65.53,10.39,0,7800,2670,1900,5200,770,0
All OS,Changwat Nong Khai,4G,Connection,Province,44.92,30.4,55.08,14.52,0,213000,100000,68000,122000,32000,0
All OS,Changwat Nong Khai,5G,Connection,Province,56.74,41.5,43.25,15.24,0,71000,44000,32000,32000,12000,0
All OS,Changwat Trat,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Trat,3G,Connection,Province,36.39,19.88,63.61,16.51,0,3400,1220,690,2200,530,0
All OS,Changwat Trat,4G,Connection,Province,42.29,26.3,57.71,15.99,0,123000,53000,33000,73000,20000,0
All OS,Changwat Trat,5G,Connection,Province,48.1,35.51,51.89,12.59,0,54000,27400,20000,29000,7400,0
All OS,Changwat Lamphun,2G,Connection,Province,100,100,0,0,0,140,0,0,0,0,0
All OS,Changwat Lamphun,3G,Connection,Province,43.72,32.46,56.28,11.26,0,6000,2610,1900,3500,710,0
All OS,Changwat Lamphun,4G,Connection,Province,55.38,40.13,44.62,15.25,0,183000,105000,77000,84000,28000,0
All OS,Changwat Lamphun,5G,Connection,Province,59.74,47.63,40.26,12.11,0,90000,56000,45000,39000,11000,0
All OS,Changwat Lampang,2G,Connection,Province,0,0,0,0,0,210,0,0,0,0,0
All OS,Changwat Lampang,3G,Connection,Province,28.42,19.77,71.58,8.65,0,12000,3470,2500,8600,970,0
All OS,Changwat Lampang,4G,Connection,Province,37.99,27.14,62.01,10.85,0,291000,114000,82000,188000,32000,100
All OS,Changwat Lampang,5G,Connection,Province,49.83,39.98,50.18,9.85,0,116000,61000,49000,61000,12000,0
All OS,Changwat Chiang Mai,2G,Connection,Province,58.18,38.18,41.82,20,0,800,480,350,380,130,0
All OS,Changwat Chiang Mai,3G,Connection,Province,36.46,22.37,63.54,14.09,0,32000,12200,7500,21000,4700,0
All OS,Changwat Chiang Mai,4G,Connection,Province,48.04,29.79,51.94,18.25,0.02,1060000,523000,325000,567000,198000,0
All OS,Changwat Chiang Mai,5G,Connection,Province,52.91,39.44,47.09,13.47,0,578000,321000,240000,284000,81000,0
All OS,Changwat Sa Kaeo,2G,Connection,Province,40.74,40.74,59.26,0,0,290,110,110,0,0,0
All OS,Changwat Sa Kaeo,3G,Connection,Province,23.45,16.59,76.56,6.86,0,6000,1410,930,4700,480,0
All OS,Changwat Sa Kaeo,4G,Connection,Province,33.79,24.72,66.2,9.07,0,235000,81000,59000,160000,22000,0
All OS,Changwat Sa Kaeo,5G,Connection,Province,42.78,34.24,57.23,8.54,0,95000,41300,33000,57000,8300,0
All OS,Changwat Loei,2G,Connection,Province,100,100,0,0,0,210,0,0,120,0,0
All OS,Changwat Loei,3G,Connection,Province,23.32,19.2,76.68,4.12,0,7600,1740,1500,6100,240,0
All OS,Changwat Loei,4G,Connection,Province,31.82,25.92,68.18,5.9,0,270000,88000,72000,191000,16000,0
All OS,Changwat Loei,5G,Connection,Province,44.48,38.34,55.51,6.14,0,96000,45300,39000,57000,6300,0
All OS,Changwat Samut Prakan,2G,Connection,Province,0,0,0,0,0,0,110,0,0,110,0
All OS,Changwat Samut Prakan,3G,Connection,Province,43.04,24.83,56.96,18.21,0,11000,5000,2900,6500,2100,0
All OS,Changwat Samut Prakan,4G,Connection,Province,54.9,31.8,45.1,23.1,0,516000,296000,171000,242000,125000,0
All OS,Changwat Samut Prakan,5G,Connection,Province,52.22,36.9,47.77,15.32,0,447000,243000,173000,223000,70000,0
All OS,Changwat Lop Buri,2G,Connection,Province,0,0,0,0,0,110,210,100,0,110,0
All OS,Changwat Lop Buri,3G,Connection,Province,27.03,20.14,72.96,6.89,0,11000,3100,2300,7700,800,0
All OS,Changwat Lop Buri,4G,Connection,Province,34.48,24.62,65.52,9.86,0,300000,109000,78000,204000,31000,0
All OS,Changwat Lop Buri,5G,Connection,Province,46.41,36.76,53.59,9.65,0,139000,68000,54000,78000,14000,0
All OS,Changwat Nakhon Ratchasima,2G,Connection,Province,100,40,0,60,0,240,300,300,0,0,0
All OS,Changwat Nakhon Ratchasima,3G,Connection,Province,33.31,24.16,66.69,9.15,0,28000,9700,7000,19000,2700,0
All OS,Changwat Nakhon Ratchasima,4G,Connection,Province,38.87,28.47,61.14,10.4,0,1130000,461000,338000,721000,123000,0
All OS,Changwat Nakhon Ratchasima,5G,Connection,Province,48.22,38.06,51.78,10.16,0,508000,257000,203000,276000,54000,0
All OS,Changwat Samut Sakhon,2G,Connection,Province,0,0,0,0,0,180,0,0,0,0,0
All OS,Changwat Samut Sakhon,3G,Connection,Province,47.84,16.71,52.16,31.13,0,12000,5600,1900,6200,3700,0
All OS,Changwat Samut Sakhon,4G,Connection,Province,60.38,20.3,39.63,40.08,0,456000,284000,96000,187000,188000,0
All OS,Changwat Samut Sakhon,5G,Connection,Province,52.27,27.93,47.73,24.34,0,268000,148000,80000,131000,68000,0
All OS,Changwat Phichit,2G,Connection,Province,0,0,0,0,0,160,160,0,0,160,0
All OS,Changwat Phichit,3G,Connection,Province,48.59,25.63,51.41,22.96,0,6400,3200,1700,3500,1500,0
All OS,Changwat Phichit,4G,Connection,Province,57.78,32.54,42.22,25.24,0,180000,110000,62000,79000,48000,0
All OS,Changwat Phichit,5G,Connection,Province,65.48,44.49,34.52,20.99,0,72000,49000,33000,26000,16000,0
All OS,Changwat Yasothon,2G,Connection,Province,100,100,0,0,0,130,0,0,0,0,0
All OS,Changwat Yasothon,3G,Connection,Province,30.34,20.33,69.66,10.01,0,6300,2050,1400,4700,650,0
All OS,Changwat Yasothon,4G,Connection,Province,42.99,30.87,57,12.12,0,192000,87000,63000,113000,24000,0
All OS,Changwat Yasothon,5G,Connection,Province,55.27,43.38,44.73,11.89,0,58000,33000,26000,27000,7000,0
All OS,Changwat Phetchaburi,2G,Connection,Province,0,0,0,0,0,150,0,0,0,0,0
All OS,Changwat Phetchaburi,3G,Connection,Province,29.92,22.16,70.08,7.76,0,8700,2670,2000,6400,670,0
All OS,Changwat Phetchaburi,4G,Connection,Province,44.31,29.62,55.69,14.69,0,235000,110000,73000,137000,37000,0
All OS,Changwat Phetchaburi,5G,Connection,Province,53.43,41.03,46.57,12.4,0,121000,68000,53000,59000,15000,0
All OS,Changwat Phitsanulok,2G,Connection,Province,0,0,100,0,0,160,110,110,100,0,0
All OS,Changwat Phitsanulok,3G,Connection,Province,49.7,23.93,50.29,25.77,0,12000,5900,2800,6200,3100,0
All OS,Changwat Phitsanulok,4G,Connection,Province,59.67,32.38,40.33,27.29,0,368000,230000,125000,156000,105000,0
All OS,Changwat Phitsanulok,5G,Connection,Province,62.85,41.6,37.15,21.25,0,202000,135000,89000,79000,46000,0
All OS,Changwat Pathum Thani,2G,Connection,Province,61.54,0,38.46,61.54,0,160,250,130,0,120,0
All OS,Changwat Pathum Thani,3G,Connection,Province,48.68,27.41,51.33,21.27,0,16000,7900,4500,8300,3400,0
All OS,Changwat Pathum Thani,4G,Connection,Province,56.23,31.31,43.77,24.92,0,640000,376000,209000,292000,167000,0
All OS,Changwat Pathum Thani,5G,Connection,Province,52.2,36.84,47.8,15.36,0,561000,307000,217000,282000,90000,0
All OS,Changwat Sukhothai,2G,Connection,Province,100,100,0,0,0,150,280,170,130,110,0
All OS,Changwat Sukhothai,3G,Connection,Province,45.32,27.8,54.68,17.52,0,7400,3400,2000,4300,1400,0
All OS,Changwat Sukhothai,4G,Connection,Province,57.72,38.5,42.28,19.22,0,230000,138000,92000,101000,46000,0
All OS,Changwat Sukhothai,5G,Connection,Province,67.24,50.69,32.77,16.55,0,84000,60000,45000,29000,15000,0
All OS,Changwat Samut Songkhram,2G,Connection,Province,0,0,0,0,0,210,0,0,0,0,0
All OS,Changwat Samut Songkhram,3G,Connection,Province,41.04,15.94,58.96,25.1,0,2400,1050,490,1500,560,0
All OS,Changwat Samut Songkhram,4G,Connection,Province,56.76,22.87,43.1,33.89,0.14,82000,48000,19000,37000,29000,0
All OS,Changwat Samut Songkhram,5G,Connection,Province,59.1,32.69,40.9,26.41,0,47000,29000,16000,20000,13000,0
All OS,Bangkok,2G,Connection,Province,85.45,50.82,14.55,34.63,0,5600,4200,2500,690,1700,0
All OS,Bangkok,3G,Connection,Province,69.75,30.87,30.25,38.88,0,238000,168000,75000,73000,93000,0
All OS,Bangkok,4G,Connection,Province,75.8,34.36,24.18,41.44,0.01,8860000,6880000,3120000,2190000,3760000,1100
All OS,Bangkok,5G,Connection,Province,61.37,39.22,38.63,22.15,0,5630000,3600000,2300000,2270000,1300000,0
All OS,Changwat Sing Buri,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Sing Buri,3G,Connection,Province,33.71,22,66.29,11.71,0,3400,1180,740,2300,440,0
All OS,Changwat Sing Buri,4G,Connection,Province,41.02,23.12,58.99,17.9,0,90000,38000,21000,56000,17000,0
All OS,Changwat Sing Buri,5G,Connection,Province,48.42,33.63,51.58,14.79,0,42000,21400,15000,22000,6400,0
All OS,Changwat Si Sa Ket,2G,Connection,Province,100,100,0,0,0,340,240,240,0,0,0
All OS,Changwat Si Sa Ket,3G,Connection,Province,33.92,20.34,66.08,13.58,0,14000,4900,3000,9300,1900,0
All OS,Changwat Si Sa Ket,4G,Connection,Province,45.55,28.67,54.45,16.88,0,471000,227000,142000,272000,85000,0
All OS,Changwat Si Sa Ket,5G,Connection,Province,56.52,41.01,43.48,15.51,0,138000,82000,59000,63000,23000,0
All OS,Changwat Prachin Buri,2G,Connection,Province,0,0,0,0,0,0,0,0,110,0,0
All OS,Changwat Prachin Buri,3G,Connection,Province,31.66,21.23,68.34,10.43,0,7800,2450,1700,5500,750,0
All OS,Changwat Prachin Buri,4G,Connection,Province,36.86,23.86,63.13,13,0,290000,111000,72000,190000,39000,0
All OS,Changwat Prachin Buri,5G,Connection,Province,43.44,33.28,56.56,10.16,0,155000,70000,53000,92000,17000,0
All OS,Changwat Krabi,2G,Connection,Province,0,0,0,0,0,200,0,0,0,0,0
All OS,Changwat Krabi,3G,Connection,Province,24.58,14.58,75.42,10,0,10000,2700,1600,8200,1100,0
All OS,Changwat Krabi,4G,Connection,Province,35.33,21.31,64.66,14.02,0,263000,97000,58000,177000,39000,0
All OS,Changwat Krabi,5G,Connection,Province,40.13,28.26,59.87,11.87,0,123000,52000,37000,77000,15000,110
All OS,Changwat Phuket,2G,Connection,Province,100,0,0,100,0,230,0,0,0,0,0
All OS,Changwat Phuket,3G,Connection,Province,39.97,16.72,60.03,23.25,0,14000,5500,2300,8500,3200,0
All OS,Changwat Phuket,4G,Connection,Province,55.95,19.67,44.05,36.28,0,445000,255000,89000,201000,166000,0
All OS,Changwat Phuket,5G,Connection,Province,56.41,30.29,43.6,26.12,0,329000,192000,103000,149000,89000,0
All OS,Changwat Surat Thani,2G,Connection,Province,0,0,0,0,0,380,220,110,0,110,0
All OS,Changwat Surat Thani,3G,Connection,Province,26.57,11.09,73.43,15.48,0,23000,6200,2700,17000,3500,0
All OS,Changwat Surat Thani,4G,Connection,Province,44.3,20.47,55.69,23.83,0,589000,272000,125000,343000,147000,0
All OS,Changwat Surat Thani,5G,Connection,Province,47.3,28.31,52.69,18.99,0,302000,150000,90000,167000,60000,0
All OS,Changwat Khon Kaen,2G,Connection,Province,100,52.94,0,47.06,0,390,100,100,0,0,0
All OS,Changwat Khon Kaen,3G,Connection,Province,49.27,27.9,50.73,21.37,0,19000,9700,5600,10000,4100,0
All OS,Changwat Khon Kaen,4G,Connection,Province,53.5,30.97,46.49,22.53,0,732000,413000,239000,359000,174000,0
All OS,Changwat Khon Kaen,5G,Connection,Province,58.56,38.31,41.45,20.25,0,333000,206000,135000,147000,71000,0
All OS,Changwat Trang,2G,Connection,Province,0,0,0,0,0,220,280,150,0,130,0
All OS,Changwat Trang,3G,Connection,Province,31.49,13.07,68.52,18.42,0,9300,3000,1300,6800,1700,0
All OS,Changwat Trang,4G,Connection,Province,49.77,20.96,50.23,28.81,0,299000,157000,66000,159000,91000,0
All OS,Changwat Trang,5G,Connection,Province,54.38,29.23,45.61,25.15,0,105000,59000,32000,51000,27000,0
All OS,Changwat Prachuap Khiri Khan,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Prachuap Khiri Khan,3G,Connection,Province,18.44,11.34,81.56,7.1,0,10000,1990,1300,8300,690,0
All OS,Changwat Prachuap Khiri Khan,4G,Connection,Province,36.25,20.4,63.75,15.85,0,241000,89000,50000,159000,39000,0
All OS,Changwat Prachuap Khiri Khan,5G,Connection,Province,42.76,30.84,57.24,11.92,0,126000,57000,42000,75000,15000,0
All OS,Changwat Amnat Charoen,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Amnat Charoen,3G,Connection,Province,39.33,28.54,60.67,10.79,0,4100,1670,1200,2600,470,0
All OS,Changwat Amnat Charoen,4G,Connection,Province,48.67,34.72,51.32,13.95,0,126000,66000,47000,67000,19000,0
All OS,Changwat Amnat Charoen,5G,Connection,Province,61.41,46.59,38.59,14.82,0,36000,22700,17000,15000,5700,0
All OS,Changwat Chiang Rai,2G,Connection,Province,57.57,33.33,42.42,24.24,0,450,460,260,190,200,0
All OS,Changwat Chiang Rai,3G,Connection,Province,40.38,24.13,59.62,16.25,0,17000,7400,4500,10000,2900,0
All OS,Changwat Chiang Rai,4G,Connection,Province,53.04,29.98,46.96,23.06,0,521000,287000,162000,253000,125000,0
All OS,Changwat Chiang Rai,5G,Connection,Province,57.83,41.51,42.17,16.32,0,266000,163000,117000,118000,46000,0
All OS,Changwat Narathiwat,2G,Connection,Province,100,100,0,0,0,120,0,0,0,0,0
All OS,Changwat Narathiwat,3G,Connection,Province,27.79,17.12,72.22,10.67,0,8000,2380,1400,6100,980,0
All OS,Changwat Narathiwat,4G,Connection,Province,36.75,19.36,63.26,17.39,0,272000,103000,54000,180000,49000,0
All OS,Changwat Narathiwat,5G,Connection,Province,35.89,22.92,64.1,12.97,0,85000,33000,21000,57000,12000,0
All OS,Changwat Kalasin,2G,Connection,Province,100,100,0,0,0,180,280,280,0,0,0
All OS,Changwat Kalasin,3G,Connection,Province,34.42,29.45,65.58,4.97,0,9900,3550,3000,6900,550,0
All OS,Changwat Kalasin,4G,Connection,Province,41.71,33.52,58.29,8.19,0,336000,148000,118000,205000,30000,0
All OS,Changwat Kalasin,5G,Connection,Province,55.18,47.01,44.82,8.17,0,101000,58000,49000,47000,9000,0
All OS,Changwat Sakon Nakhon,2G,Connection,Province,100,100,0,0,0,290,230,230,0,0,0
All OS,Changwat Sakon Nakhon,3G,Connection,Province,23.04,19.22,76.96,3.82,0,14000,3170,2600,11000,570,0
All OS,Changwat Sakon Nakhon,4G,Connection,Province,32.79,27.26,67.21,5.53,0,430000,149000,123000,301000,26000,0
All OS,Changwat Sakon Nakhon,5G,Connection,Province,49.19,43.04,50.81,6.15,0,125000,64200,56000,66000,8200,0
All OS,Changwat Ubon Ratchathani,2G,Connection,Province,100,69.23,0,30.77,0,460,430,280,0,150,0
All OS,Changwat Ubon Ratchathani,3G,Connection,Province,40.72,19.53,59.27,21.19,0,25000,10300,4900,15000,5400,0
All OS,Changwat Ubon Ratchathani,4G,Connection,Province,56.85,28.93,43.15,27.92,0,799000,476000,243000,362000,233000,0
All OS,Changwat Ubon Ratchathani,5G,Connection,Province,62.43,38.19,37.57,24.24,0,265000,175000,107000,107000,68000,0
All OS,Changwat Mukdahan,2G,Connection,Province,100,100,0,0,0,130,170,170,0,0,0
All OS,Changwat Mukdahan,3G,Connection,Province,32.66,22.78,67.34,9.88,0,5100,1610,1200,3300,410,0
All OS,Changwat Mukdahan,4G,Connection,Province,46.45,37.97,53.55,8.48,0,160000,77000,63000,88000,14000,0
All OS,Changwat Mukdahan,5G,Connection,Province,57.96,49.63,42.04,8.33,0,50000,31300,27000,21000,4300,0
All OS,Changwat Chachoengsao,2G,Connection,Province,0,0,0,0,0,110,0,0,0,0,0
All OS,Changwat Chachoengsao,3G,Connection,Province,44.4,20.54,55.6,23.86,0,9200,4200,1900,5400,2300,0
All OS,Changwat Chachoengsao,4G,Connection,Province,53.41,26.68,46.59,26.73,0,385000,213000,107000,188000,106000,0
All OS,Changwat Chachoengsao,5G,Connection,Province,51.95,33.51,48.06,18.44,0,250000,135000,87000,125000,48000,0
All OS,Changwat Saraburi,2G,Connection,Province,100,100,0,0,0,0,0,0,0,0,0
All OS,Changwat Saraburi,3G,Connection,Province,32.65,20.14,67.35,12.51,0,13000,4300,2600,8500,1700,0
All OS,Changwat Saraburi,4G,Connection,Province,41.96,26.27,58.04,15.69,0,364000,159000,99000,220000,60000,0
All OS,Changwat Saraburi,5G,Connection,Province,46.71,35.56,53.28,11.15,0,213000,103000,78000,119000,25000,0
All OS,Changwat Chaiyaphum,2G,Connection,Province,100,100,0,0,0,370,120,120,0,0,0
All OS,Changwat Chaiyaphum,3G,Connection,Province,31.99,22.81,68.01,9.18,0,11000,3700,2600,7700,1100,0
All OS,Changwat Chaiyaphum,4G,Connection,Province,39.06,28.83,60.94,10.23,0,400000,164000,121000,253000,43000,0
All OS,Changwat Chaiyaphum,5G,Connection,Province,50.47,41.05,49.53,9.42,0,133000,71000,58000,69000,13000,0
All OS,Changwat Uttaradit,2G,Connection,Province,0,0,0,0,0,150,0,0,0,0,0
All OS,Changwat Uttaradit,3G,Connection,Province,35.49,23.24,64.51,12.25,0,6900,2500,1600,4800,900,0
All OS,Changwat Uttaradit,4G,Connection,Province,44.37,31.63,55.63,12.74,0,173000,80000,57000,100000,23000,0
All OS,Changwat Uttaradit,5G,Connection,Province,54.82,43.3,45.18,11.52,0,67000,39100,31000,32000,8100,0
All OS,Changwat Ang Thong,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Ang Thong,3G,Connection,Province,31.2,19.16,68.8,12.04,0,3900,1260,770,2700,490,0
All OS,Changwat Ang Thong,4G,Connection,Province,38.93,22.82,61.07,16.11,0,111000,45000,25000,71000,20000,0
All OS,Changwat Ang Thong,5G,Connection,Province,47,33.12,53,13.88,0,53000,26700,19000,31000,7700,0
All OS,Changwat Pattani,2G,Connection,Province,0,0,0,0,0,170,0,0,110,0,0
All OS,Changwat Pattani,3G,Connection,Province,24.24,13.01,75.75,11.23,0,8400,2180,1200,6600,980,0
All OS,Changwat Pattani,4G,Connection,Province,32.23,17.2,67.77,15.03,0,335000,113000,60000,236000,53000,0
All OS,Changwat Pattani,5G,Connection,Province,35.45,22.57,64.55,12.88,0,107000,39000,25000,71000,14000,0
All OS,Changwat Phayao,2G,Connection,Province,0,0,0,0,0,190,0,0,0,0,0
All OS,Changwat Phayao,3G,Connection,Province,35.37,25.04,64.63,10.33,0,6600,2310,1600,4300,710,0
All OS,Changwat Phayao,4G,Connection,Province,41.49,29.13,58.51,12.36,0,175000,77000,54000,107000,23000,0
All OS,Changwat Phayao,5G,Connection,Province,50.66,40.08,49.35,10.58,0,79000,42800,34000,41000,8800,0
All OS,Changwat Maha Sarakham,2G,Connection,Province,0,0,0,0,0,0,0,0,130,0,0
All OS,Changwat Maha Sarakham,3G,Connection,Province,33.22,23.6,66.78,9.62,0,12000,4100,2800,8100,1300,0
All OS,Changwat Maha Sarakham,4G,Connection,Province,45.22,31.21,54.78,14.01,0,377000,181000,124000,218000,57000,0
All OS,Changwat Maha Sarakham,5G,Connection,Province,56.28,42.78,43.72,13.5,0,138000,83000,64000,64000,19000,0
All OS,Changwat Udon Thani,2G,Connection,Province,100,100,0,0,0,280,230,230,0,0,0
All OS,Changwat Udon Thani,3G,Connection,Province,30.73,23.03,69.27,7.7,0,16000,5100,3800,11000,1300,0
All OS,Changwat Udon Thani,4G,Connection,Province,37.38,27.04,62.62,10.34,0,580000,227000,164000,379000,63000,0
All OS,Changwat Udon Thani,5G,Connection,Province,47.41,37.4,52.59,10.01,0,242000,121000,95000,134000,26000,0
All OS,Changwat Rayong,2G,Connection,Province,0,0,100,0,0,130,0,0,0,0,0
All OS,Changwat Rayong,3G,Connection,Province,37.22,17.1,62.79,20.12,0,15000,5800,2600,9800,3200,0
All OS,Changwat Rayong,4G,Connection,Province,47.39,23.86,52.61,23.53,0,579000,284000,143000,316000,141000,0
All OS,Changwat Rayong,5G,Connection,Province,46.76,29.4,53.23,17.36,0,474000,230000,144000,263000,86000,0
All OS,Changwat Bueng Kan,2G,Connection,Province,100,100,0,0,0,140,240,240,0,0,0
All OS,Changwat Bueng Kan,3G,Connection,Province,19.89,15.11,80.11,4.78,0,5500,1040,830,4300,210,0
All OS,Changwat Bueng Kan,4G,Connection,Province,34.07,29.03,65.93,5.04,0,170000,61700,52000,117000,9700,0
All OS,Changwat Bueng Kan,5G,Connection,Province,49.05,42.29,50.95,6.76,0,46000,23300,20000,25000,3300,0
All OS,Changwat Nonthaburi,2G,Connection,Province,100,100,0,0,0,350,230,230,0,0,0
All OS,Changwat Nonthaburi,3G,Connection,Province,53.4,31.25,46.6,22.15,0,16000,8900,5300,7800,3600,0
All OS,Changwat Nonthaburi,4G,Connection,Province,63.53,36.13,36.43,27.4,0.04,668000,439000,250000,253000,189000,170
All OS,Changwat Nonthaburi,5G,Connection,Province,57.22,39.92,42.79,17.3,0,600000,359000,251000,269000,108000,0
All OS,Changwat Phang-nga,2G,Connection,Province,100,0,0,100,0,160,0,0,0,0,0
All OS,Changwat Phang-nga,3G,Connection,Province,29.39,17.22,70.61,12.17,0,5500,1740,950,4000,790,0
All OS,Changwat Phang-nga,4G,Connection,Province,43.73,23.5,56.27,20.23,0,152000,69000,37000,89000,32000,0
All OS,Changwat Phang-nga,5G,Connection,Province,50.95,34.39,49.05,16.56,0,60000,31000,21000,31000,10000,0
All OS,Changwat Songkhla,2G,Connection,Province,77.05,44.26,22.95,32.79,0,500,220,220,0,0,0
All OS,Changwat Songkhla,3G,Connection,Province,38.65,16.8,61.36,21.85,0,24000,9700,4300,15000,5400,0
All OS,Changwat Songkhla,4G,Connection,Province,51.81,22.5,48.18,29.31,0.01,771000,421000,183000,391000,238000,140
All OS,Changwat Songkhla,5G,Connection,Province,53.06,29.43,46.94,23.63,0,382000,216000,120000,189000,96000,0
All OS,Changwat Phatthalung,2G,Connection,Province,0,0,0,0,0,0,0,0,0,0,0
All OS,Changwat Phatthalung,3G,Connection,Province,27.38,16.51,72.63,10.87,0,6900,2020,1200,5300,820,0
All OS,Changwat Phatthalung,4G,Connection,Province,34.62,22.02,65.38,12.6,0,201000,73000,46000,138000,27000,0
All OS,Changwat Phatthalung,5G,Connection,Province,40.34,29,59.66,11.34,0,79000,33300,24000,49000,9300,0
All OS,Changwat Nakhon Sawan,2G,Connection,Province,100,100,0,0,0,170,120,120,0,0,0
All OS,Changwat Nakhon Sawan,3G,Connection,Province,35.45,19.63,64.55,15.82,0,14000,5000,2800,9000,2200,0
All OS,Changwat Nakhon Sawan,4G,Connection,Province,43.52,26,56.48,17.52,0,377000,172000,103000,224000,69000,0
All OS,Changwat Nakhon Sawan,5G,Connection,Province,51.64,35.57,48.37,16.07,0,186000,100000,69000,95000,31000,0
All OS,Changwat Mae Hong Son,2G,Connection,Province,100,100,0,0,0,130,210,210,0,0,0
All OS,Changwat Mae Hong Son,3G,Connection,Province,25.6,25.6,74.4,0,0,4100,1280,1100,3100,180,0
All OS,Changwat Mae Hong Son,4G,Connection,Province,43.95,38.57,56.05,5.38,0,95000,44200,39000,57000,5200,0
All OS,Changwat Mae Hong Son,5G,Connection,Province,52.32,45.31,47.68,7.01,0,28000,16200,14000,14000,2200,0
All OS,Changwat Chai Nat,Price unknown,Device,Province,51.17,38.93,48.83,12.24,0,7200,3900,2900,3600,1000,0
All OS,Changwat Chai Nat,"$1,000 or more",Device,Province,53.33,40.1,46.67,13.23,0,36000,20100,15000,18000,5100,0
All OS,Changwat Chai Nat,Less than $100,Device,Province,41.92,29.66,58.08,12.26,0,11000,4600,3200,6400,1400,0
All OS,Changwat Chai Nat,$100 - $149,Device,Province,42.52,30.48,57.48,12.04,0,33000,13900,10000,20000,3900,0
All OS,Changwat Chai Nat,$150 - $199,Device,Province,46.1,33.81,53.9,12.29,0,31000,13900,10000,18000,3900,0
All OS,Changwat Chai Nat,$200 - $249,Device,Province,47.95,33.57,52.04,14.38,0,21000,9900,6900,11000,3000,0
All OS,Changwat Chai Nat,$250 - $299,Device,Province,44.65,31.62,55.35,13.03,0,18000,8100,5800,10000,2300,0
All OS,Changwat Chai Nat,$300 - $399,Device,Province,48.11,32.84,51.89,15.27,0,24000,11800,7900,13000,3900,0
All OS,Changwat Chai Nat,$400 - $599,Device,Province,50.85,35.67,49.15,15.18,0,27000,13800,9700,14000,4100,0
All OS,Changwat Chai Nat,$600 - $999,Device,Province,54.76,41.62,45.25,13.14,0,28000,15900,12000,13000,3900,0
All OS,Changwat Surin,Price unknown,Device,Province,42.32,32.43,57.69,9.89,0,28000,12700,9800,17000,2900,0
All OS,Changwat Surin,"$1,000 or more",Device,Province,48.65,37.07,51.34,11.58,0,106000,54000,41000,56000,13000,0
All OS,Changwat Surin,Less than $100,Device,Province,33.03,24.03,66.97,9,0,50000,16300,12000,34000,4300,0
All OS,Changwat Surin,$100 - $149,Device,Province,34.77,25.63,65.23,9.14,0,145000,51000,38000,98000,13000,0
All OS,Changwat Surin,$150 - $199,Device,Province,36.2,26.17,63.8,10.03,0,114000,43000,31000,75000,12000,0
All OS,Changwat Surin,$200 - $249,Device,Province,38.17,27.23,61.83,10.94,0,76000,30300,22000,49000,8300,0
All OS,Changwat Surin,$250 - $299,Device,Province,38.97,28.33,61.03,10.64,0,63000,23900,17000,39000,6900,0
